I0926 19:07:18.460121       1 cli.go:275] **************** gVisor ****************
I0926 19:07:18.460150       1 cli.go:276] Version release-20260921.0, go1.26.3, amd64, 4 CPUs, linux, PID 1, PPID 0, UID 0, GID 0
D0926 19:07:18.460155       1 cli.go:277] Page size: 0x1000 (4096 bytes)
I0926 19:07:18.460160       1 cli.go:278] Args: [runsc-sandbox --platform=systrap --systemd-cgroup=true --root=/var/run/docker/runtime-runc/moby --debug=true --log=/run/containerd/io.containerd.runtime.v2.task/moby/8bc9b59dc3d0e7aeff95dbeb7f7898cd7f88a39a0dbe32b909359b3ea0afb440/log.json --log-format=json --debug-log=/var/log/runsc-67/ --log-fd=3 --debug-log-fd=4 boot --bundle=/run/containerd/io.containerd.runtime.v2.task/moby/8bc9b59dc3d0e7aeff95dbeb7f7898cd7f88a39a0dbe32b909359b3ea0afb440 --gofer-mount-confs=lisafs:self,lisafs:none,lisafs:none,lisafs:none,lisafs:none,lisafs:none --apply-caps=true --setup-root --total-host-memory 8326336512 --cpu-num 2 --cpu-quota 200000 --cpu-period 100000 --total-memory 268435456 --io-fds=5 --io-fds=6 --io-fds=7 --io-fds=8 --io-fds=9 --io-fds=10 --dev-io-fd=-1 --gofer-filestore-fds=11 --mounts-fd=12 --start-sync-fd=13 --pin-ring-fd=14 --controller-fd=15 --spec-fd=16 --stdio-fds=17 --stdio-fds=18 --stdio-fds=19 8bc9b59dc3d0e7aeff95dbeb7f7898cd7f88a39a0dbe32b909359b3ea0afb440]
I0926 19:07:18.460171       1 config.go:558] Platform: systrap
I0926 19:07:18.460177       1 config.go:559] RootDir: /var/run/docker/runtime-runc/moby
I0926 19:07:18.460179       1 config.go:560] FileAccess: exclusive / Directfs: true / Overlay: root:self
I0926 19:07:18.460182       1 config.go:561] Network: sandbox
I0926 19:07:18.460184       1 config.go:562] UseCPUNums: false
I0926 19:07:18.460186       1 config.go:564] Debug: true. Strace: false, max size: 1024, syscalls: 
W0926 19:07:18.460188       1 config.go:567] --allow-suid is disabled, SUID/SGID bits on executables will be ignored.
D0926 19:07:18.460190       1 config.go:585] Config.RootDir (--root): /var/run/docker/runtime-runc/moby
D0926 19:07:18.460193       1 config.go:585] Config.Traceback (--traceback): system
D0926 19:07:18.460195       1 config.go:585] Config.Debug (--debug): true
D0926 19:07:18.460197       1 config.go:585] Config.LogFilename (--log): /run/containerd/io.containerd.runtime.v2.task/moby/8bc9b59dc3d0e7aeff95dbeb7f7898cd7f88a39a0dbe32b909359b3ea0afb440/log.json
D0926 19:07:18.460202       1 config.go:585] Config.LogFormat (--log-format): json
D0926 19:07:18.460203       1 config.go:585] Config.DebugLog (--debug-log): /var/log/runsc-67/
D0926 19:07:18.460205       1 config.go:585] Config.DebugToUserLog (--debug-to-user-log): false
D0926 19:07:18.460208       1 config.go:585] Config.DebugCommand (--debug-command): (empty)
D0926 19:07:18.460210       1 config.go:585] Config.PanicLog (--panic-log): (empty)
D0926 19:07:18.460211       1 config.go:585] Config.CoverageReport (--coverage-report): (empty)
D0926 19:07:18.460213       1 config.go:585] Config.DebugLogFormat (--debug-log-format): text
D0926 19:07:18.460215       1 config.go:585] Config.FileAccess (--file-access): exclusive
D0926 19:07:18.460217       1 config.go:585] Config.FileAccessMounts (--file-access-mounts): shared
D0926 19:07:18.460219       1 config.go:585] Config.Overlay (--overlay): false
D0926 19:07:18.460221       1 config.go:585] Config.Overlay2 (--overlay2): root:self
D0926 19:07:18.460228       1 config.go:585] Config.FSGoferHostUDS (--fsgofer-host-uds): false
D0926 19:07:18.460230       1 config.go:585] Config.HostUDS (--host-uds): none
D0926 19:07:18.460237       1 config.go:585] Config.HostFifo (--host-fifo): none
D0926 19:07:18.460239       1 config.go:585] Config.CharacterDevicePolicy (--character-device-policy): emulated-only
D0926 19:07:18.460241       1 config.go:585] Config.HostSettings (--host-settings): check
D0926 19:07:18.460244       1 config.go:585] Config.Network (--network): sandbox
D0926 19:07:18.460246       1 config.go:585] Config.GoferNetworkNamespace (--gofer-network-namespace): null
D0926 19:07:18.460248       1 config.go:585] Config.EnableRaw (--net-raw): false
D0926 19:07:18.460252       1 config.go:585] Config.AllowPacketEndpointWrite (--allow-packet-socket-write): false
D0926 19:07:18.460254       1 config.go:585] Config.AllowLiveTCPMigration (--allow-live-tcp-migration): true
D0926 19:07:18.460256       1 config.go:585] Config.SignalUnkillablePolicy (--signal-unkillable-policy): none
D0926 19:07:18.460258       1 config.go:585] Config.HostGSO (--gso): true
D0926 19:07:18.460260       1 config.go:585] Config.GVisorGSO (--software-gso): true
D0926 19:07:18.460262       1 config.go:585] Config.GVisorGRO (--gvisor-gro): false
D0926 19:07:18.460263       1 config.go:585] Config.TXChecksumOffload (--tx-checksum-offload): false
D0926 19:07:18.460265       1 config.go:585] Config.RXChecksumOffload (--rx-checksum-offload): true
D0926 19:07:18.460267       1 config.go:585] Config.QDisc (--qdisc): fifo
D0926 19:07:18.460269       1 config.go:585] Config.TBFRate (--qdisc-tbf-rate): 0
D0926 19:07:18.460271       1 config.go:585] Config.TBFBurst (--qdisc-tbf-burst): 0
D0926 19:07:18.460273       1 config.go:585] Config.LogPackets (--log-packets): false
D0926 19:07:18.460274       1 config.go:585] Config.PCAP (--pcap-log): (empty)
D0926 19:07:18.460276       1 config.go:585] Config.Platform (--platform): systrap
D0926 19:07:18.460306       1 config.go:585] Config.PlatformDevicePath (--platform_device_path): (empty)
D0926 19:07:18.460312       1 config.go:585] Config.MetricServer (--metric-server): (empty)
D0926 19:07:18.460315       1 config.go:585] Config.SidecarReleaseEnforcementPolicy (--sidecar-release-enforcement-policy): IF_RELEASE_BUILD
D0926 19:07:18.460323       1 config.go:585] Config.SidecarUsagePolicy (--sidecar-usage-policy): DEFAULT
D0926 19:07:18.460327       1 config.go:585] Config.FinalMetricsLog (--final-metrics-log): (empty)
D0926 19:07:18.460329       1 config.go:585] Config.ProfilingMetrics (--profiling-metrics): (empty)
D0926 19:07:18.460331       1 config.go:585] Config.ProfilingMetricsLog (--profiling-metrics-log): (empty)
D0926 19:07:18.460333       1 config.go:585] Config.ProfilingMetricsRate (--profiling-metrics-rate-us): 1000
D0926 19:07:18.460339       1 config.go:585] Config.Strace (--strace): false
D0926 19:07:18.460342       1 config.go:585] Config.StraceSyscalls (--strace-syscalls): (empty)
D0926 19:07:18.460346       1 config.go:585] Config.StraceLogSize (--strace-log-size): 1024
D0926 19:07:18.460350       1 config.go:585] Config.StraceEvent (--strace-event): false
D0926 19:07:18.460352       1 config.go:587] Config.DisableSeccomp: false
D0926 19:07:18.460354       1 config.go:585] Config.EnableCoreTags (--enable-core-tags): false
D0926 19:07:18.460356       1 config.go:585] Config.WatchdogAction (--watchdog-action): log
D0926 19:07:18.460358       1 config.go:585] Config.PanicSignal (--panic-signal): -1
D0926 19:07:18.460360       1 config.go:585] Config.ProfileEnable (--profile): false
D0926 19:07:18.460362       1 config.go:585] Config.ProfileBlock (--profile-block): (empty)
D0926 19:07:18.460363       1 config.go:585] Config.ProfileCPU (--profile-cpu): (empty)
D0926 19:07:18.460365       1 config.go:585] Config.ProfileGCInterval (--profile-gc-interval): 0s
D0926 19:07:18.460368       1 config.go:585] Config.ProfileHeap (--profile-heap): (empty)
D0926 19:07:18.460369       1 config.go:585] Config.ProfileMutex (--profile-mutex): (empty)
D0926 19:07:18.460371       1 config.go:585] Config.TraceFile (--trace): (empty)
D0926 19:07:18.460372       1 config.go:585] Config.NumNetworkChannels (--num-network-channels): 1
D0926 19:07:18.460374       1 config.go:585] Config.NetworkProcessorsPerChannel (--network-processors-per-channel): 0
D0926 19:07:18.460376       1 config.go:585] Config.Rootless (--rootless): false
D0926 19:07:18.460377       1 config.go:585] Config.AlsoLogToStderr (--alsologtostderr): false
D0926 19:07:18.460379       1 config.go:585] Config.ReferenceLeak (--ref-leak-mode): disabled
D0926 19:07:18.460382       1 config.go:585] Config.CPUNumFromQuota (--cpu-num-from-quota): true
D0926 19:07:18.460383       1 config.go:585] Config.AllowFlagOverride (--allow-flag-override): false
D0926 19:07:18.460388       1 config.go:585] Config.OCISeccomp (--oci-seccomp): false
D0926 19:07:18.460390       1 config.go:585] Config.IgnoreCgroups (--ignore-cgroups): false
D0926 19:07:18.460392       1 config.go:585] Config.InSandboxCgroup (--in-sandbox-cgroup): v1
D0926 19:07:18.460394       1 config.go:585] Config.SystemdCgroup (--systemd-cgroup): true
D0926 19:07:18.460396       1 config.go:585] Config.PodInitConfig (--pod-init-config): (empty)
D0926 19:07:18.460398       1 config.go:585] Config.XDP (--EXPERIMENTAL-xdp): {0 }
D0926 19:07:18.460402       1 config.go:585] Config.AFXDPUseNeedWakeup (--EXPERIMENTAL-xdp-need-wakeup): true
D0926 19:07:18.460403       1 config.go:585] Config.FDLimit (--fdlimit): -1
D0926 19:07:18.460405       1 config.go:585] Config.DCache (--dcache): -1
D0926 19:07:18.460407       1 config.go:585] Config.IOUring (--iouring): false
D0926 19:07:18.460409       1 config.go:585] Config.DirectFS (--directfs): true
D0926 19:07:18.460410       1 config.go:585] Config.AppHugePages (--app-huge-pages): true
